20260214	Kyabol demo	AgvJWdYLMUI
20260202	Demonstrating the project to Shri Somanath ji (Former ISRO Chief)	x9SHIKOnHvY
20260202	Demonstrating the project to His Holiness Sri Sri Brahmananda Bharati Swamiji	H_s_Sv34ek4
20260201	Laksh Receiving the Blessings from His Holiness Sri Sri Shankara Bharathi Mahaswamiji	wR3WDJB9v_Y
20260131	Pitching at Run Together Hackathon by Runable on 31 Jan 2026	kGENI_zK7kk
20260131	Demonstrating Drishtikon Yantra to Guruji at Vedanta Bharati x Param Science Expo	ORPQW1_M-v8
20251126	Laksh's Line-Following Maze Robot — Quick Breakdown of All Connections	BY95VrwZ9ok
20251108	Watch an 8-Year-Old Pitch His Startup at South Park Commons	Oxw5T8ZU1RI
20251108	The Youngest Founder in the Room	ZVk1cisMLrg
20251025	Circuit Heroes Road Map - Delta Program by The Residency	PoFN1Mf0rOo
20251016	Day 1 learnings - Delta 2 - The Residency	RaoAFrpGr6U
20251016	Day 1 Delta 2 - The Residency - The 1-liner test	SHRUtqWpifk
20250925	League of Components Game Play by Circuit Heroes	11YnVOA9vZc
20250814	The jasmine flower mala-making machine. Maker's details in the description	OGl0d2RYAQg
20250810	Rapid fire round: Panel discussion at The August Fest 2025	ZDq-IEbFCXc
20250809	Que 2-Panel discussion at the Junior Stage, August Fest 2025	Aej3I2-Q73c
20250809	Que.1 - what was your first project? Panel discussion at The August Fest 2025.	LGxrASsCw48
20250727	Youngest Participant Presents at Hardware Hackathon by Lion Circuits & PCB Cupid!	bparB1aC_Wk
20250629	Exploring the Future Tech at IITEX 2025 | Hitex, Hyderabad	N9Fu9js2Gts
20250626	7 Sales Lessons from a 7-Year-Old | Hitex Kids Business Carnival	oKX4EOO3NAQ
20250626	7-Year-Old Attends IoT of Things Workshop at IIT Hyderabad	e_bb0p3N3aA
20250626	How Screen-Free Toys Are Made At Clapstore Toys I Laksh visits the factory	fPmippfjAtg
20250624	From Factories to Labs – Kids Learn Where Things Are Made. June 2025 Pune	nlrQzeuCLdY
20250624	Drone Workshop at IIT Hyderabad – A Hands-on Build by Circuit Heroes	4kF5J9M4WXg
20250615	3d printing a spring with my Prusa	IIQFKKJHBzw
20250614	Flying a drone powered by Agam Auto Pilot	LxEzQklf8iw
20250514	Flying DJI Air 2S drone indoors	gflYR0jEwms
20250513	7-Year-Old Successfully Flies and Lands a Pro Drone!	E3jBBPvbA1s
20250504	How to Build a Campfire Cooking Pit: A Beginner's Guide to Safe Outdoor Cooking	O9x1BYX1J30
